"age1","age2","age3","minAIC","AIC"
-474.912114049223,-495.77185214084,-493.913568033646,-495.77185214084,2
-378.380545164418,-394.13839350848,-393.230490454769,-394.13839350848,2
-373.914949828396,-390.806900554665,-389.170139610597,-390.806900554665,2
-465.132428981373,-479.997716743452,-480.321608941606,-480.321608941606,3
-364.009836534716,-375.026746258933,-373.030600536961,-375.026746258933,2
-448.738489845508,-471.471256802884,-470.869133898664,-471.471256802884,2
-437.061758100154,-447.390168526461,-446.055230864708,-447.390168526461,2
-353.327264777704,-370.197659281617,-369.349517076345,-370.197659281617,2
-427.552426191436,-454.834572804397,-454.124897423399,-454.834572804397,2
-443.156400895063,-471.509776782491,-469.865271346197,-471.509776782491,2
-398.441074082892,-416.982874313908,-415.118064555711,-416.982874313908,2
-385.2604255661,-405.197667573942,-403.434630305306,-405.197667573942,2
-399.479792371361,-420.471960221948,-418.737013883092,-420.471960221948,2
-419.163553265749,-434.856705025039,-433.345441816038,-434.856705025039,2
-424.301930132051,-446.267141142685,-444.462159700539,-446.267141142685,2
-399.737214787497,-417.268570966858,-417.189706064913,-417.268570966858,2
-428.195101402595,-442.170056158351,-444.432027189169,-444.432027189169,3
-416.477437797369,-441.479609436576,-443.573992579429,-443.573992579429,3
-432.697096275718,-455.895357451725,-456.41577508244,-456.41577508244,3
-422.903894707909,-454.42079207884,-455.147125693979,-455.147125693979,3
-405.129250686175,-432.077966595893,-434.052838662989,-434.052838662989,3
-414.670953539387,-438.822537205355,-438.996491996862,-438.996491996862,3
-428.090990786945,-458.785903388429,-458.439883203137,-458.785903388429,2
-439.314463941969,-463.958607491847,-462.540460685506,-463.958607491847,2
-400.247981323777,-420.3192693289,-419.394023948047,-420.3192693289,2
-429.728034978419,-445.691083224348,-443.87118510138,-445.691083224348,2
-398.593416633956,-424.023307542293,-422.830291536088,-424.023307542293,2
-440.280882168993,-458.223833399933,-456.266884637363,-458.223833399933,2
-391.327523881396,-405.460976303855,-404.221692906164,-405.460976303855,2
-432.952737522313,-458.780665120518,-457.244827992414,-458.780665120518,2
-444.072199994458,-471.292771501452,-471.097831731791,-471.292771501452,2
-433.177033478191,-455.598354705841,-455.469027026844,-455.598354705841,2
-415.419434138301,-433.32654582089,-432.788828567313,-433.32654582089,2
-386.484064223444,-409.130281512788,-411.605273792296,-411.605273792296,3
-428.424614711791,-447.24593519064,-450.367643042759,-450.367643042759,3
-429.229366013268,-450.504173445544,-449.250534289455,-450.504173445544,2
-413.340014503072,-434.137026999179,-434.065915724032,-434.137026999179,2
-434.631455108726,-456.380510375637,-457.991579497021,-457.991579497021,3
-388.818216398263,-406.754922806746,-407.836335086173,-407.836335086173,3
-389.605199167607,-419.35998448914,-420.572571821307,-420.572571821307,3
-397.367030878732,-424.181053740527,-424.508419393636,-424.508419393636,3
-415.915225133948,-437.563539249593,-439.133938136901,-439.133938136901,3
-406.246520178804,-423.082856537345,-421.704461975402,-423.082856537345,2
-385.906338237551,-407.352542742408,-405.458084933509,-407.352542742408,2
-390.924933109382,-422.449477660696,-420.451963884946,-422.449477660696,2
-359.404011000356,-381.858155599662,-379.905031457273,-381.858155599662,2
-420.319027466761,-442.002255086959,-440.505603053829,-442.002255086959,2
-417.077041262128,-435.387266424268,-434.292461813301,-435.387266424268,2
-390.041383182795,-412.385556024294,-410.743500567035,-412.385556024294,2
-399.138824088493,-423.699658849334,-422.061976732294,-423.699658849334,2
-392.554142173506,-427.466227847921,-425.481173122237,-427.466227847921,2
-429.901110120004,-451.584539137676,-449.944094977386,-451.584539137676,2
-395.612498092366,-412.732646996695,-411.335963571363,-412.732646996695,2
-422.871806743292,-454.786505540675,-453.228988543028,-454.786505540675,2
-420.778723008904,-448.263605241411,-446.812038628078,-448.263605241411,2
-461.541558248616,-475.164241517305,-473.486066042527,-475.164241517305,2
-462.445258647408,-473.673947763834,-471.777706249477,-473.673947763834,2
-365.171685569046,-383.604303561168,-382.55474313984,-383.604303561168,2
-389.750686023435,-409.877002133139,-408.682026239903,-409.877002133139,2
-445.030682734635,-457.426948075294,-457.560422761546,-457.560422761546,3
-457.94962563653,-476.397399236161,-474.992804367058,-476.397399236161,2
-434.926603337307,-455.182859071127,-455.142313966055,-455.182859071127,2
-399.609061629914,-436.8307452288,-434.849245303783,-436.8307452288,2
-415.074915620674,-434.542615603791,-434.63433022808,-434.63433022808,3
-418.909888276661,-431.083178814023,-433.046496105286,-433.046496105286,3
-439.533039968524,-457.545283651344,-456.843302613272,-457.545283651344,2
-403.667802385686,-423.798140218515,-423.158828172997,-423.798140218515,2
-406.234978164379,-423.498387599004,-425.650674078446,-425.650674078446,3
-384.197578552696,-401.30378544723,-400.741440701595,-401.30378544723,2
