"age1","age2","age3","minAIC","AIC"
-518.648496197428,-518.223731927087,-520.295778569719,-520.295778569719,3
-529.499714082627,-528.485416647417,-532.164908132558,-532.164908132558,3
-549.144818555419,-547.799147604194,-545.992193724232,-549.144818555419,1
-505.39868856159,-504.07521278072,-506.322356363467,-506.322356363467,3
-512.14838969417,-510.167041020407,-510.954132866452,-512.14838969417,1
-471.16910154585,-470.315805730106,-470.399076872681,-471.16910154585,1
-470.732946761244,-469.683637197338,-471.3728015563,-471.3728015563,3
-467.499666084536,-465.522225641777,-469.657711955376,-469.657711955376,3
-593.565433053508,-592.115141118098,-591.022542017914,-593.565433053508,1
-585.497242938162,-583.555379589774,-583.051120579636,-585.497242938162,1
-438.203464029694,-436.225751976947,-436.446746072281,-438.203464029694,1
-555.683318459828,-554.03388900145,-552.083515336057,-555.683318459828,1
-567.161015961354,-565.20912557294,-563.381211583804,-567.161015961354,1
-499.45000018962,-497.769604841971,-495.887066076582,-499.45000018962,1
-577.90035787428,-577.229872932797,-575.279770847831,-577.90035787428,1
-466.557541486601,-465.331960588633,-464.217529006963,-466.557541486601,1
-487.277065656677,-487.102505916493,-487.053805299303,-487.277065656677,1
-489.396127574576,-487.84492423628,-488.246664150806,-489.396127574576,1
-454.726569984666,-453.128466175591,-454.926638835921,-454.926638835921,3
-434.647731177333,-434.651597519531,-434.628122759166,-434.651597519531,2
-447.863174254351,-446.365979331419,-444.412563577849,-447.863174254351,1
-448.5618267458,-446.59862228764,-445.102650974273,-448.5618267458,1
-445.724982223333,-443.896503052312,-442.845984065155,-445.724982223333,1
-433.109784009364,-431.505079124391,-429.679953913427,-433.109784009364,1
-428.503402413844,-426.69735522711,-424.699729814171,-428.503402413844,1
-478.706851082389,-479.223241764423,-477.997462910083,-479.223241764423,2
-508.71736309373,-508.796764957927,-506.822006206333,-508.796764957927,2
-469.292514603059,-472.87807463229,-471.207552118713,-472.87807463229,2
