"age1","age2","age3","minAIC","AIC"
-516.521275581238,-514.873735908504,-513.443962670492,-516.521275581238,1
-459.374117349111,-457.38481991199,-455.711247557438,-459.374117349111,1
-492.127342916067,-490.185956250065,-488.250909067973,-492.127342916067,1
-515.488273869163,-521.238588954048,-522.23271818317,-522.23271818317,3
-521.804167433838,-520.210776808511,-520.38105017498,-521.804167433838,1
-520.243239926971,-518.907436141342,-522.416970213567,-522.416970213567,3
-523.947435187699,-521.991723323457,-520.413441190113,-523.947435187699,1
-611.988353465723,-610.687220888118,-609.071907292924,-611.988353465723,1
-471.90140958323,-470.339343609936,-475.229038447073,-475.229038447073,3
-445.993893975907,-444.815616270572,-442.858726236922,-445.993893975907,1
-522.486587621511,-520.970871020116,-522.438542509223,-522.486587621511,1
-572.260509399995,-573.382682597067,-574.326272007523,-574.326272007523,3
-547.250026841415,-555.135826664918,-554.170964940019,-555.135826664918,2
-560.878964276256,-560.778562063523,-561.674085045942,-561.674085045942,3
-557.974446242708,-558.040547161828,-564.386347747533,-564.386347747533,3
-449.929392467927,-448.182320334896,-446.930282056894,-449.929392467927,1
-425.947155544,-424.010269143685,-422.396983283807,-425.947155544,1
-465.496626867113,-468.492338963333,-468.862389783381,-468.862389783381,3
-512.271409756535,-517.034026104715,-515.772407061334,-517.034026104715,2
-482.326204823173,-480.67287780097,-479.434347110291,-482.326204823173,1
-528.844349542328,-531.231151305688,-530.267251524254,-531.231151305688,2
-506.16355208489,-504.374703676708,-502.616319486468,-506.16355208489,1
-507.01848916836,-513.899185038066,-511.942130179207,-513.899185038066,2
-436.959528078298,-435.312284676357,-433.382217053941,-436.959528078298,1
-463.442197414307,-463.383537972322,-461.715071239221,-463.442197414307,1
-540.909623290906,-543.611617727498,-542.186139714304,-543.611617727498,2
-496.374766850382,-495.819907276003,-494.733999168903,-496.374766850382,1
-424.407601841908,-422.853104860741,-421.750572296063,-424.407601841908,1
-358.757654552744,-356.761028622844,-354.831438680409,-358.757654552744,1
-449.762333424245,-448.18728015128,-447.375040255615,-449.762333424245,1
-463.922454308101,-461.985217497093,-462.643653533193,-463.922454308101,1
-481.865817525136,-480.205183487834,-478.208971285087,-481.865817525136,1
-473.234839094943,-473.777898213599,-472.696776445456,-473.777898213599,2
-581.176404953694,-581.903829039062,-580.019183470388,-581.903829039062,2
-469.804153672728,-468.257570442372,-466.359494119404,-469.804153672728,1
-423.211771052537,-421.420641390069,-427.469759722626,-427.469759722626,3
-430.91537050887,-430.85648312404,-429.328667074521,-430.91537050887,1
-437.37735907469,-438.155449848958,-437.736247652357,-438.155449848958,2
-508.084463948618,-506.255685371963,-506.919223413878,-508.084463948618,1
-430.640292524601,-433.091740022055,-431.26760472113,-433.091740022055,2
-475.897329648191,-476.986527145845,-475.465820484736,-476.986527145845,2
-742.095711654272,-745.828890458805,-743.914850648494,-745.828890458805,2
-420.503326624453,-420.923477157306,-421.059355380905,-421.059355380905,3
-450.093613167167,-448.93727114793,-448.514983060394,-450.093613167167,1
-423.479404705523,-423.09441972141,-425.173899220545,-425.173899220545,3
-420.176639121997,-419.06997774887,-417.566230024073,-420.176639121997,1
-415.54106917855,-415.061867367732,-415.546268943486,-415.546268943486,3
-424.071927733852,-424.52945681511,-425.727255231519,-425.727255231519,3
-436.648353722817,-438.747573327217,-438.052513467106,-438.747573327217,2
-434.685183403167,-432.781794675232,-438.630981335916,-438.630981335916,3
-461.287856308453,-461.138359310262,-463.528943435621,-463.528943435621,3
-419.556851982085,-417.690649654133,-423.895582650577,-423.895582650577,3
-477.442545219443,-477.376303802997,-475.947906426213,-477.442545219443,1
-446.043754464246,-445.098548423446,-444.357504856478,-446.043754464246,1
-480.90508062503,-480.525588081681,-484.882441461214,-484.882441461214,3
-439.100333476346,-437.140110349744,-436.802724449314,-439.100333476346,1
-477.650640519747,-476.050894131471,-475.752772954959,-477.650640519747,1
-460.881775419314,-459.970506584431,-459.248129512337,-460.881775419314,1
-435.327022735691,-433.993473194318,-434.345799311704,-435.327022735691,1
-562.658211968757,-560.659820106488,-558.833976832482,-562.658211968757,1
-505.939045905423,-504.470059722494,-502.479368184588,-505.939045905423,1
-466.319539231666,-464.508033326338,-463.089648525939,-466.319539231666,1
-511.889670461162,-509.988652127651,-508.673258192058,-511.889670461162,1
-488.3051994489,-486.71406751556,-486.855742016402,-488.3051994489,1
-483.511167289931,-482.010051685218,-481.121830360797,-483.511167289931,1
