"","BSC","GWC","CT","t1t2_ratio_25_GM","t1t2_ratio_25_WM","t1t2_ratio_50_GM"
"-1 SD",0.0198318271504795,-0.0422535354868618,-0.203192401882407,-0.246017028689352,-0.387433536792002,-0.194927472555113
"+1 SD",0.132754785555719,0.0344575893100109,0.167833329825981,-0.163735062872322,-0.272982471364828,-0.11070399803109
"-1.5 SD",-0.00839891245083052,-0.0614313166860799,-0.295948834809504,-0.266587520143609,-0.416046303148796,-0.215983341186118
"+1.5 SD",0.160985525157029,0.053635370509229,0.260589762753078,-0.143164571418065,-0.244369705008035,-0.0896481294000849
"-2 SD",-0.0366296520521405,-0.0806090978852981,-0.388705267736601,-0.287158011597867,-0.444659069505589,-0.237039209817124
"+2 SD",0.189216264758339,0.0728131517084472,0.353346195680175,-0.122594079963807,-0.215756938651242,-0.0685922607690794
