"age1","age2","age3","minAIC","AIC"
-381.375845914525,-394.563505473575,-393.034151884497,-394.563505473575,2
-410.115571422629,-426.718762718764,-424.922759288348,-426.718762718764,2
-352.093048007841,-358.403124085056,-358.759006217985,-358.759006217985,3
-440.592888532488,-453.532521394513,-452.055507766144,-453.532521394513,2
-444.76432220618,-453.22838877493,-453.000151240525,-453.22838877493,2
-389.12272367956,-404.966128297757,-403.124051033181,-404.966128297757,2
-416.914727617638,-432.543294958818,-431.136026052387,-432.543294958818,2
-424.771344999818,-448.913133820396,-447.388122089928,-448.913133820396,2
-451.138978482523,-459.807471436725,-458.002706914386,-459.807471436725,2
-420.41927368001,-429.792659984554,-428.024685865718,-429.792659984554,2
-455.582145703361,-476.653187997881,-474.782484239183,-476.653187997881,2
-475.841030977021,-494.079503086119,-492.3247894119,-494.079503086119,2
-524.089535170593,-529.638909977071,-528.142200150059,-529.638909977071,2
-479.64513901541,-484.72688774517,-482.726888444276,-484.72688774517,2
-366.508952667379,-383.226506608662,-381.819204447658,-383.226506608662,2
-411.75454570062,-425.169513598817,-423.467089374503,-425.169513598817,2
-471.022079690454,-476.710782640793,-476.49373277554,-476.710782640793,2
-470.373326162417,-486.346060900328,-484.44804909314,-486.346060900328,2
-461.218810207521,-474.238460528803,-473.658038669925,-474.238460528803,2
-397.514031844368,-433.551855589104,-431.583022139344,-433.551855589104,2
-457.190200690692,-467.428025407137,-467.836972487688,-467.836972487688,3
-431.132124127603,-438.864313186144,-439.035942841116,-439.035942841116,3
-469.859631487758,-479.693969103948,-478.912763647848,-479.693969103948,2
-425.552927822577,-434.749791560258,-434.281663278267,-434.749791560258,2
-410.201825224403,-420.810491047758,-422.860416334861,-422.860416334861,3
-396.466461013069,-412.267227668274,-410.299679331022,-412.267227668274,2
-404.243965850798,-410.924162409051,-410.468575586058,-410.924162409051,2
-424.947429031559,-430.503964734994,-431.103978988033,-431.103978988033,3
-399.357172102494,-405.671932750658,-403.734462927734,-405.671932750658,2
-359.175151117194,-363.571412976206,-363.527239134073,-363.571412976206,2
-393.043079191453,-398.94371262823,-401.720561272979,-401.720561272979,3
-373.423972279995,-376.754504531955,-381.724066332149,-381.724066332149,3
-428.762474002749,-444.658773385712,-442.658799113665,-444.658773385712,2
-430.224676239525,-444.935220782446,-445.054892666885,-445.054892666885,3
-453.934923471453,-465.635893798773,-465.044583574829,-465.635893798773,2
-465.384761247244,-475.11421760867,-474.218077216033,-475.11421760867,2
-441.9632747238,-456.400335981055,-456.351891137678,-456.400335981055,2
-480.689252970402,-498.058386330697,-498.139762453172,-498.139762453172,3
-471.269101961434,-494.543123019346,-497.825211619257,-497.825211619257,3
-435.039785312389,-448.560606149494,-446.633359084801,-448.560606149494,2
-473.761787780812,-487.349654179583,-487.234179070894,-487.349654179583,2
-464.728143514133,-479.270043926324,-481.02087258094,-481.02087258094,3
-476.150037673489,-481.814863427805,-480.275386403203,-481.814863427805,2
-490.726417570627,-503.829424323092,-501.923670357427,-503.829424323092,2
-467.002728816745,-474.09421120774,-472.21653227508,-474.09421120774,2
-441.154708144405,-455.984582550542,-455.067537878539,-455.984582550542,2
-419.265706140829,-433.22745693384,-431.426711393785,-433.22745693384,2
-448.893799748658,-469.264202695636,-467.315983682786,-469.264202695636,2
-431.87378189813,-446.578665118052,-446.20454239793,-446.578665118052,2
-470.874217838311,-478.461073026082,-479.302494119027,-479.302494119027,3
-356.64196610016,-357.652636739748,-356.009247572948,-357.652636739748,2
-384.261781155508,-396.566121481724,-394.904656170979,-396.566121481724,2
-339.880109202239,-347.072154463089,-345.709794801237,-347.072154463089,2
-178.297919291962,-185.916472464158,-183.965641044164,-185.916472464158,2
-332.810781973489,-345.15557704689,-346.424189408232,-346.424189408232,3
-516.936589519663,-534.615708420764,-532.932943161124,-534.615708420764,2
-500.757692310576,-506.19160166022,-506.30540756413,-506.30540756413,3
-507.52442588446,-522.813698849347,-522.118836856657,-522.813698849347,2
-496.641714820846,-496.806969469089,-497.591897872839,-497.591897872839,3
-416.518663285849,-422.438767661467,-422.787078332091,-422.787078332091,3
-472.459952689593,-472.558142998043,-474.363111111017,-474.363111111017,3
-460.296493446223,-462.567801496058,-463.747041387508,-463.747041387508,3
-414.968070249406,-419.168112524831,-418.547589690647,-419.168112524831,2
-488.016026656398,-497.956180549281,-497.34404918749,-497.956180549281,2
-473.560880235351,-483.688385802662,-486.021764216588,-486.021764216588,3
-467.862092211556,-484.673368162963,-486.059068576982,-486.059068576982,3
-422.037236484395,-432.877773526172,-437.73676895371,-437.73676895371,3
-512.378823685518,-526.77730429873,-526.58858453441,-526.77730429873,2
-508.813068715056,-518.233457115863,-518.92420320179,-518.92420320179,3
-500.633793455278,-512.055952688573,-512.698248964482,-512.698248964482,3
-496.957617486883,-510.436851706991,-512.506206330733,-512.506206330733,3
-501.037376986779,-508.20312449236,-510.982891691564,-510.982891691564,3
-483.130399910311,-499.577418509765,-502.515628041483,-502.515628041483,3
-422.838013416779,-440.821771058635,-440.86081267161,-440.86081267161,3
-428.909731487193,-438.924229572993,-438.133329270891,-438.924229572993,2
-401.56255676396,-419.117766330282,-422.959116995189,-422.959116995189,3
-430.024757687918,-451.762304645717,-453.949414268537,-453.949414268537,3
-463.884545852545,-481.937509762081,-484.38178296677,-484.38178296677,3
-443.732228804801,-464.89459740952,-464.327765062687,-464.89459740952,2
-417.078206736882,-432.229095183977,-430.62263212806,-432.229095183977,2
-491.812523840532,-505.494591495012,-507.688582238848,-507.688582238848,3
-450.585287189683,-469.878289999838,-471.124744216574,-471.124744216574,3
-445.574097965043,-459.561846627891,-459.302414430608,-459.561846627891,2
-478.37526291716,-492.471307726764,-492.278457821219,-492.471307726764,2
-455.644084293478,-471.371867370582,-471.832166519538,-471.832166519538,3
-509.444020851461,-529.95753021649,-528.210576054507,-529.95753021649,2
-533.257364031798,-547.899743971313,-545.903376777975,-547.899743971313,2
-476.753831530577,-503.251903098364,-501.499979157261,-503.251903098364,2
-492.982601637261,-509.279977026581,-507.889533073926,-509.279977026581,2
-523.033951294866,-535.25338904265,-533.374263475407,-535.25338904265,2
-547.400812218896,-555.617761649413,-553.723335433976,-555.617761649413,2
-505.350700327676,-507.579299323283,-505.782076986163,-507.579299323283,2
-462.258700113782,-479.714579193178,-478.438925154395,-479.714579193178,2
-467.504622576477,-481.071787118489,-479.733661084958,-481.071787118489,2
-480.489209994475,-493.08145204315,-491.66929804493,-493.08145204315,2
-456.003949957223,-470.932839732101,-469.34819574447,-470.932839732101,2
-458.077666179627,-476.697312007783,-475.105639180637,-476.697312007783,2
-448.355861652726,-465.534214919396,-463.644587717302,-465.534214919396,2
-495.124478388024,-506.292398316369,-504.458107662806,-506.292398316369,2
-513.628190741461,-522.885645967171,-521.296262262888,-522.885645967171,2
-553.499149635854,-562.206915204235,-560.242693467184,-562.206915204235,2
-541.04649480568,-547.128562976236,-545.151046668604,-547.128562976236,2
-447.174768521587,-450.232230466398,-448.500015067565,-450.232230466398,2
-541.940139041259,-550.444343477364,-548.582342675477,-550.444343477364,2
-553.058862439011,-559.350969729015,-557.455178358403,-559.350969729015,2
-500.358265251016,-502.945276675454,-501.1879424158,-502.945276675454,2
-478.364102719026,-482.416920731073,-480.94693757158,-482.416920731073,2
-522.869396262218,-530.48219619027,-529.095306246717,-530.48219619027,2
-502.00545175657,-508.425170943548,-506.701777367026,-508.425170943548,2
-498.187228019432,-509.048753333989,-509.085127168441,-509.085127168441,3
-519.856686825333,-529.984630564332,-530.377573473365,-530.377573473365,3
-532.616416555478,-544.674341276556,-544.303768869012,-544.674341276556,2
-522.469958741169,-538.280187880927,-538.561082372105,-538.561082372105,3
-538.120435974333,-539.251786256879,-537.273147642434,-539.251786256879,2
-532.897411924772,-542.140077129125,-540.776799207395,-542.140077129125,2
-545.782890871431,-555.843877707392,-553.998118197031,-555.843877707392,2
-517.215751145458,-527.80861380159,-525.850847330614,-527.80861380159,2
-548.448108162972,-565.814329099963,-564.538915377933,-565.814329099963,2
-458.687531041201,-468.525263303385,-466.56551541296,-468.525263303385,2
-540.789473768533,-550.443444350624,-548.447727066533,-550.443444350624,2
-459.041787771108,-475.510177189534,-473.547843458635,-475.510177189534,2
-447.114513915637,-471.681787293926,-469.74269011489,-471.681787293926,2
-469.649242673612,-488.412009984898,-486.434865762763,-488.412009984898,2
-498.013689032231,-505.117165731256,-504.576098963548,-505.117165731256,2
-518.284388447123,-525.134910560024,-523.150805257092,-525.134910560024,2
