"","BSC","GWC","CT","t1t2_ratio_25_GM","t1t2_ratio_25_WM","t1t2_ratio_50_GM"
"-1 SD",-0.0532214609733194,-0.27553875248375,-1.14661430584175,-0.10051419173779,-0.525247500202623,-0.106964595970137
"+1 SD",0.103788089357828,-0.0821814561317757,-0.494789112967589,0.237076087076214,-0.247825012879899,0.220220566370834
"-1.5 SD",-0.0924738485561062,-0.323878076571744,-1.30957060406029,-0.184911761441291,-0.594603122033304,-0.18876088655538
"+1.5 SD",0.143040476940614,-0.0338421320437821,-0.331832814749049,0.321473656779715,-0.178469391049218,0.302016856956077
"-2 SD",-0.131726236138893,-0.372217400659737,-1.47252690227883,-0.269309331144792,-0.663958743863985,-0.270557177140623
"+2 SD",0.182292864523401,0.0144971920442114,-0.168876516530509,0.405871226483216,-0.109113769218537,0.38381314754132
