"","rep(NA, 25)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 25)","paste0(names[i], "" right"")","Var1","Var2","value"
"11",NA,"BSC left",0.01,"tvalue-poly(age, 2)1",3.22013750431568,NA,"BSC right",0.01,"tvalue-poly(age, 2)1",3.31508772707982,NA,"GWC left",0.01,"tvalue-poly(age, 2)1",2.67783690006826,NA,"GWC right",0.01,"tvalue-poly(age, 2)1",2.68046438050125,NA,"CT left",0.01,"tvalue-poly(age, 2)1",2.64353435162464,NA,"CT right",0.01,"tvalue-poly(age, 2)1",2.6621393489163,NA,"t1t2_ratio_25_GM left",0.01,"tvalue-poly(age, 2)1",2.91986189194537,NA,"t1t2_ratio_25_GM right",0.01,"tvalue-poly(age, 2)1",2.83333243790417,NA,"t1t2_ratio_25_WM left",0.01,"tvalue-poly(age, 2)1",2.63803226833794,NA,"t1t2_ratio_25_WM right",0.01,"tvalue-poly(age, 2)1",2.64155998467255,NA,"t1t2_ratio_50_GM left",0.01,"tvalue-poly(age, 2)1",2.88082047676274,NA,"t1t2_ratio_50_GM right",0.01,"tvalue-poly(age, 2)1",2.82507432687406
"12",NA,"BSC left",0.05,"tvalue-poly(age, 2)1",2.55731802704688,NA,"BSC right",0.05,"tvalue-poly(age, 2)1",2.59361107704127,NA,"GWC left",0.05,"tvalue-poly(age, 2)1",2.03096838431815,NA,"GWC right",0.05,"tvalue-poly(age, 2)1",2.03148412872726,NA,"CT left",0.05,"tvalue-poly(age, 2)1",2.00094314042263,NA,"CT right",0.05,"tvalue-poly(age, 2)1",2.01355945026621,NA,"t1t2_ratio_25_GM left",0.05,"tvalue-poly(age, 2)1",2.1928556162505,NA,"t1t2_ratio_25_GM right",0.05,"tvalue-poly(age, 2)1",2.1573227551491,NA,"t1t2_ratio_25_WM left",0.05,"tvalue-poly(age, 2)1",1.9909817894559,NA,"t1t2_ratio_25_WM right",0.05,"tvalue-poly(age, 2)1",1.99566013260914,NA,"t1t2_ratio_50_GM left",0.05,"tvalue-poly(age, 2)1",2.16806380099324,NA,"t1t2_ratio_50_GM right",0.05,"tvalue-poly(age, 2)1",2.12887574617349
"13",NA,"BSC left",0.1,"tvalue-poly(age, 2)1",2.21849800015595,NA,"BSC right",0.1,"tvalue-poly(age, 2)1",2.2136853623488,NA,"GWC left",0.1,"tvalue-poly(age, 2)1",1.70245108134965,NA,"GWC right",0.1,"tvalue-poly(age, 2)1",1.70600187943289,NA,"CT left",0.1,"tvalue-poly(age, 2)1",1.67640013015666,NA,"CT right",0.1,"tvalue-poly(age, 2)1",1.68752768517597,NA,"t1t2_ratio_25_GM left",0.1,"tvalue-poly(age, 2)1",1.84205938568151,NA,"t1t2_ratio_25_GM right",0.1,"tvalue-poly(age, 2)1",1.81897985096601,NA,"t1t2_ratio_25_WM left",0.1,"tvalue-poly(age, 2)1",1.66510268968979,NA,"t1t2_ratio_25_WM right",0.1,"tvalue-poly(age, 2)1",1.67072194816014,NA,"t1t2_ratio_50_GM left",0.1,"tvalue-poly(age, 2)1",1.81372226640703,NA,"t1t2_ratio_50_GM right",0.1,"tvalue-poly(age, 2)1",1.78982042100486
"14",NA,"BSC left",0.15,"tvalue-poly(age, 2)1",1.99701023431432,NA,"BSC right",0.15,"tvalue-poly(age, 2)1",1.96097101022757,NA,"GWC left",0.15,"tvalue-poly(age, 2)1",1.49069051909821,NA,"GWC right",0.15,"tvalue-poly(age, 2)1",1.49553759139686,NA,"CT left",0.15,"tvalue-poly(age, 2)1",1.46555132184621,NA,"CT right",0.15,"tvalue-poly(age, 2)1",1.47608020819747,NA,"t1t2_ratio_25_GM left",0.15,"tvalue-poly(age, 2)1",1.61779135926533,NA,"t1t2_ratio_25_GM right",0.15,"tvalue-poly(age, 2)1",1.59929475150249,NA,"t1t2_ratio_25_WM left",0.15,"tvalue-poly(age, 2)1",1.45430995021209,NA,"t1t2_ratio_25_WM right",0.15,"tvalue-poly(age, 2)1",1.46032341010709,NA,"t1t2_ratio_50_GM left",0.15,"tvalue-poly(age, 2)1",1.58505741392284,NA,"t1t2_ratio_50_GM right",0.15,"tvalue-poly(age, 2)1",1.57165031538681
"15",NA,"BSC left",0.2,"tvalue-poly(age, 2)1",1.81977331819474,NA,"BSC right",0.2,"tvalue-poly(age, 2)1",1.76287665450719,NA,"GWC left",0.2,"tvalue-poly(age, 2)1",1.32776937791,NA,"GWC right",0.2,"tvalue-poly(age, 2)1",1.3327255934858,NA,"CT left",0.2,"tvalue-poly(age, 2)1",1.30468142766407,NA,"CT right",0.2,"tvalue-poly(age, 2)1",1.3137294628314,NA,"t1t2_ratio_25_GM left",0.2,"tvalue-poly(age, 2)1",1.44674254559427,NA,"t1t2_ratio_25_GM right",0.2,"tvalue-poly(age, 2)1",1.42951566664138,NA,"t1t2_ratio_25_WM left",0.2,"tvalue-poly(age, 2)1",1.29246011561173,NA,"t1t2_ratio_25_WM right",0.2,"tvalue-poly(age, 2)1",1.30034109140454,NA,"t1t2_ratio_50_GM left",0.2,"tvalue-poly(age, 2)1",1.41357500647555,NA,"t1t2_ratio_50_GM right",0.2,"tvalue-poly(age, 2)1",1.40229378434764
"16",NA,"BSC left",0.01,"tvalue-poly(age, 2)2",2.86312222799222,NA,"BSC right",0.01,"tvalue-poly(age, 2)2",2.97886147075132,NA,"GWC left",0.01,"tvalue-poly(age, 2)2",NA,NA,"GWC right",0.01,"tvalue-poly(age, 2)2",NA,NA,"CT left",0.01,"tvalue-poly(age, 2)2",NA,NA,"CT right",0.01,"tvalue-poly(age, 2)2",NA,NA,"t1t2_ratio_25_GM left",0.01,"tvalue-poly(age, 2)2",2.62476705233576,NA,"t1t2_ratio_25_GM right",0.01,"tvalue-poly(age, 2)2",2.62164317817014,NA,"t1t2_ratio_25_WM left",0.01,"tvalue-poly(age, 2)2",2.62206894962598,NA,"t1t2_ratio_25_WM right",0.01,"tvalue-poly(age, 2)2",2.62314227228939,NA,"t1t2_ratio_50_GM left",0.01,"tvalue-poly(age, 2)2",2.64011018835235,NA,"t1t2_ratio_50_GM right",0.01,"tvalue-poly(age, 2)2",2.64799831293763
"17",NA,"BSC left",0.05,"tvalue-poly(age, 2)2",2.14601921911338,NA,"BSC right",0.05,"tvalue-poly(age, 2)2",2.21971808813956,NA,"GWC left",0.05,"tvalue-poly(age, 2)2",NA,NA,"GWC right",0.05,"tvalue-poly(age, 2)2",NA,NA,"CT left",0.05,"tvalue-poly(age, 2)2",NA,NA,"CT right",0.05,"tvalue-poly(age, 2)2",NA,NA,"t1t2_ratio_25_GM left",0.05,"tvalue-poly(age, 2)2",1.98231889425493,NA,"t1t2_ratio_25_GM right",0.05,"tvalue-poly(age, 2)2",1.98195920574575,NA,"t1t2_ratio_25_WM left",0.05,"tvalue-poly(age, 2)2",1.98460240210233,NA,"t1t2_ratio_25_WM right",0.05,"tvalue-poly(age, 2)2",1.98311866832416,NA,"t1t2_ratio_50_GM left",0.05,"tvalue-poly(age, 2)2",1.98639727258874,NA,"t1t2_ratio_50_GM right",0.05,"tvalue-poly(age, 2)2",1.98793807039471
"18",NA,"BSC left",0.1,"tvalue-poly(age, 2)2",1.80298045684565,NA,"BSC right",0.1,"tvalue-poly(age, 2)2",1.86282045933308,NA,"GWC left",0.1,"tvalue-poly(age, 2)2",3.89857908984926,NA,"GWC right",0.1,"tvalue-poly(age, 2)2",4.19350139429215,NA,"CT left",0.1,"tvalue-poly(age, 2)2",3.64961643117996,NA,"CT right",0.1,"tvalue-poly(age, 2)2",NA,NA,"t1t2_ratio_25_GM left",0.1,"tvalue-poly(age, 2)2",1.65863202702937,NA,"t1t2_ratio_25_GM right",0.1,"tvalue-poly(age, 2)2",1.66322174401853,NA,"t1t2_ratio_25_WM left",0.1,"tvalue-poly(age, 2)2",1.65813233521551,NA,"t1t2_ratio_25_WM right",0.1,"tvalue-poly(age, 2)2",1.66934858065013,NA,"t1t2_ratio_50_GM left",0.1,"tvalue-poly(age, 2)2",1.66042550170761,NA,"t1t2_ratio_50_GM right",0.1,"tvalue-poly(age, 2)2",1.66207368349148
"19",NA,"BSC left",0.15,"tvalue-poly(age, 2)2",1.58219539767359,NA,"BSC right",0.15,"tvalue-poly(age, 2)2",1.63612266697523,NA,"GWC left",0.15,"tvalue-poly(age, 2)2",3.71473835205897,NA,"GWC right",0.15,"tvalue-poly(age, 2)2",3.7215762577736,NA,"CT left",0.15,"tvalue-poly(age, 2)2",3.27386485115367,NA,"CT right",0.15,"tvalue-poly(age, 2)2",NA,NA,"t1t2_ratio_25_GM left",0.15,"tvalue-poly(age, 2)2",1.45471620144247,NA,"t1t2_ratio_25_GM right",0.15,"tvalue-poly(age, 2)2",1.45127345610323,NA,"t1t2_ratio_25_WM left",0.15,"tvalue-poly(age, 2)2",1.45773440382511,NA,"t1t2_ratio_25_WM right",0.15,"tvalue-poly(age, 2)2",1.4633627245443,NA,"t1t2_ratio_50_GM left",0.15,"tvalue-poly(age, 2)2",1.4535641861889,NA,"t1t2_ratio_50_GM right",0.15,"tvalue-poly(age, 2)2",1.45028662321838
"20",NA,"BSC left",0.2,"tvalue-poly(age, 2)2",1.41435243083753,NA,"BSC right",0.2,"tvalue-poly(age, 2)2",1.46440184748101,NA,"GWC left",0.2,"tvalue-poly(age, 2)2",3.55036749310602,NA,"GWC right",0.2,"tvalue-poly(age, 2)2",3.44303722860874,NA,"CT left",0.2,"tvalue-poly(age, 2)2",2.92670454027308,NA,"CT right",0.2,"tvalue-poly(age, 2)2",NA,NA,"t1t2_ratio_25_GM left",0.2,"tvalue-poly(age, 2)2",1.31470475524456,NA,"t1t2_ratio_25_GM right",0.2,"tvalue-poly(age, 2)2",1.35491022606298,NA,"t1t2_ratio_25_WM left",0.2,"tvalue-poly(age, 2)2",1.30702249581547,NA,"t1t2_ratio_25_WM right",0.2,"tvalue-poly(age, 2)2",1.29412617890509,NA,"t1t2_ratio_50_GM left",0.2,"tvalue-poly(age, 2)2",1.29517826024276,NA,"t1t2_ratio_50_GM right",0.2,"tvalue-poly(age, 2)2",1.29018579573812
"21",NA,"BSC left",0.01,"tvalue-sexMale",NA,NA,"BSC right",0.01,"tvalue-sexMale",NA,NA,"GWC left",0.01,"tvalue-sexMale",NA,NA,"GWC right",0.01,"tvalue-sexMale",NA,NA,"CT left",0.01,"tvalue-sexMale",4.04342078510518,NA,"CT right",0.01,"tvalue-sexMale",3.9028558476655,NA,"t1t2_ratio_25_GM left",0.01,"tvalue-sexMale",NA,NA,"t1t2_ratio_25_GM right",0.01,"tvalue-sexMale",4.14518787806533,NA,"t1t2_ratio_25_WM left",0.01,"tvalue-sexMale",NA,NA,"t1t2_ratio_25_WM right",0.01,"tvalue-sexMale",4.31362619884667,NA,"t1t2_ratio_50_GM left",0.01,"tvalue-sexMale",NA,NA,"t1t2_ratio_50_GM right",0.01,"tvalue-sexMale",4.10554368485243
"22",NA,"BSC left",0.05,"tvalue-sexMale",3.22801585180819,NA,"BSC right",0.05,"tvalue-sexMale",NA,NA,"GWC left",0.05,"tvalue-sexMale",NA,NA,"GWC right",0.05,"tvalue-sexMale",NA,NA,"CT left",0.05,"tvalue-sexMale",3.40243690872087,NA,"CT right",0.05,"tvalue-sexMale",3.06758028095998,NA,"t1t2_ratio_25_GM left",0.05,"tvalue-sexMale",3.7891129268831,NA,"t1t2_ratio_25_GM right",0.05,"tvalue-sexMale",3.4853343439726,NA,"t1t2_ratio_25_WM left",0.05,"tvalue-sexMale",NA,NA,"t1t2_ratio_25_WM right",0.05,"tvalue-sexMale",3.78212143043523,NA,"t1t2_ratio_50_GM left",0.05,"tvalue-sexMale",3.38816497065439,NA,"t1t2_ratio_50_GM right",0.05,"tvalue-sexMale",3.13790133908313
"23",NA,"BSC left",0.1,"tvalue-sexMale",2.74886249617497,NA,"BSC right",0.1,"tvalue-sexMale",2.81466671725607,NA,"GWC left",0.1,"tvalue-sexMale",NA,NA,"GWC right",0.1,"tvalue-sexMale",NA,NA,"CT left",0.1,"tvalue-sexMale",3.04549103370518,NA,"CT right",0.1,"tvalue-sexMale",2.69651384139759,NA,"t1t2_ratio_25_GM left",0.1,"tvalue-sexMale",2.72744799773395,NA,"t1t2_ratio_25_GM right",0.1,"tvalue-sexMale",3.07746730536557,NA,"t1t2_ratio_25_WM left",0.1,"tvalue-sexMale",NA,NA,"t1t2_ratio_25_WM right",0.1,"tvalue-sexMale",3.5473374478297,NA,"t1t2_ratio_50_GM left",0.1,"tvalue-sexMale",2.14072393443933,NA,"t1t2_ratio_50_GM right",0.1,"tvalue-sexMale",2.69410386563496
"24",NA,"BSC left",0.15,"tvalue-sexMale",2.42870618254953,NA,"BSC right",0.15,"tvalue-sexMale",2.38873365042177,NA,"GWC left",0.15,"tvalue-sexMale",NA,NA,"GWC right",0.15,"tvalue-sexMale",NA,NA,"CT left",0.15,"tvalue-sexMale",2.74077289076134,NA,"CT right",0.15,"tvalue-sexMale",2.4655423197702,NA,"t1t2_ratio_25_GM left",0.15,"tvalue-sexMale",2.19842883979628,NA,"t1t2_ratio_25_GM right",0.15,"tvalue-sexMale",2.73734698490902,NA,"t1t2_ratio_25_WM left",0.15,"tvalue-sexMale",NA,NA,"t1t2_ratio_25_WM right",0.15,"tvalue-sexMale",3.41119719338942,NA,"t1t2_ratio_50_GM left",0.15,"tvalue-sexMale",1.70948821693005,NA,"t1t2_ratio_50_GM right",0.15,"tvalue-sexMale",2.42083372698409
"25",NA,"BSC left",0.2,"tvalue-sexMale",2.1901460359572,NA,"BSC right",0.2,"tvalue-sexMale",2.13370658542861,NA,"GWC left",0.2,"tvalue-sexMale",NA,NA,"GWC right",0.2,"tvalue-sexMale",3.02199028330715,NA,"CT left",0.2,"tvalue-sexMale",2.49629731051806,NA,"CT right",0.2,"tvalue-sexMale",2.26234555007388,NA,"t1t2_ratio_25_GM left",0.2,"tvalue-sexMale",1.85533710154167,NA,"t1t2_ratio_25_GM right",0.2,"tvalue-sexMale",2.43408864717075,NA,"t1t2_ratio_25_WM left",0.2,"tvalue-sexMale",NA,NA,"t1t2_ratio_25_WM right",0.2,"tvalue-sexMale",3.31476571950714,NA,"t1t2_ratio_50_GM left",0.2,"tvalue-sexMale",1.47146433615376,NA,"t1t2_ratio_50_GM right",0.2,"tvalue-sexMale",2.17579945049394
