"","BSC","GWC","CT","t1t2_ratio_25_GM","t1t2_ratio_25_WM","t1t2_ratio_50_GM"
"-1 SD",-0.000264420573969469,-0.00136040556539436,-0.0056613715881843,-0.000490372977149687,-0.00258378179052759,-0.000523469701591957
"+1 SD",0.000509842785014022,-0.000405663810921589,-0.00244227019921354,0.00117609454803144,-0.00121493404298881,0.00109121083849652
"-1.5 SD",-0.000457986413715341,-0.00159909100401256,-0.006466146935427,-0.000906989858444968,-0.00292599372741229,-0.000927139836614076
"+1.5 SD",0.000703408624759895,-0.000166978372303396,-0.00163749485197085,0.00159271142932672,-0.000872722106104117,0.00149488097351864
"-2 SD",-0.000651552253461214,-0.00183777644263075,-0.00727092228266969,-0.00132360673974025,-0.00326820566429698,-0.0013308099716362
"+2 SD",0.000896974464505768,7.17070663147981e-05,-0.000832719504728155,0.002009328310622,-0.000530510169219421,0.00189855110854076
