"","rep(NA, 20)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" right"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" left"")","Var1","Var2","value","rep(NA, 20)","paste0(names[i], "" right"")","Var1","Var2","value"
"11",NA,"BSC left",0.01,"tvalue-age",3.24300007135842,NA,"BSC right",0.01,"tvalue-age",3.33810706829202,NA,"GWC left",0.01,"tvalue-age",2.67783641853756,NA,"GWC right",0.01,"tvalue-age",2.67962259027164,NA,"CT left",0.01,"tvalue-age",2.64550666055831,NA,"CT right",0.01,"tvalue-age",2.66262534986296,NA,"t1t2_ratio_25_GM left",0.01,"tvalue-age",2.99757029185362,NA,"t1t2_ratio_25_GM right",0.01,"tvalue-age",2.86452897202302,NA,"t1t2_ratio_25_WM left",0.01,"tvalue-age",2.64447797847003,NA,"t1t2_ratio_25_WM right",0.01,"tvalue-age",2.64570135188741,NA,"t1t2_ratio_50_GM left",0.01,"tvalue-age",2.92284694518244,NA,"t1t2_ratio_50_GM right",0.01,"tvalue-age",2.85398453966414
"12",NA,"BSC left",0.05,"tvalue-age",2.58089289325476,NA,"BSC right",0.05,"tvalue-age",2.62333641035778,NA,"GWC left",0.05,"tvalue-age",2.03129918075018,NA,"GWC right",0.05,"tvalue-age",2.03229172263613,NA,"CT left",0.05,"tvalue-age",2.00122727675011,NA,"CT right",0.05,"tvalue-age",2.01361922157995,NA,"t1t2_ratio_25_GM left",0.05,"tvalue-age",2.22613926777639,NA,"t1t2_ratio_25_GM right",0.05,"tvalue-age",2.17611515024405,NA,"t1t2_ratio_25_WM left",0.05,"tvalue-age",1.99367013110754,NA,"t1t2_ratio_25_WM right",0.05,"tvalue-age",1.99852462347341,NA,"t1t2_ratio_50_GM left",0.05,"tvalue-age",2.18503211829212,NA,"t1t2_ratio_50_GM right",0.05,"tvalue-age",2.14003028901169
"13",NA,"BSC left",0.1,"tvalue-age",2.24322981903712,NA,"BSC right",0.1,"tvalue-age",2.24831262112602,NA,"GWC left",0.1,"tvalue-age",1.70297658082992,NA,"GWC right",0.1,"tvalue-age",1.70617404358449,NA,"CT left",0.1,"tvalue-age",1.67606659597555,NA,"CT right",0.1,"tvalue-age",1.68791112647726,NA,"t1t2_ratio_25_GM left",0.1,"tvalue-age",1.86687207049438,NA,"t1t2_ratio_25_GM right",0.1,"tvalue-age",1.83355827177984,NA,"t1t2_ratio_25_WM left",0.1,"tvalue-age",1.66572744557637,NA,"t1t2_ratio_25_WM right",0.1,"tvalue-age",1.67363920262965,NA,"t1t2_ratio_50_GM left",0.1,"tvalue-age",1.82976656954348,NA,"t1t2_ratio_50_GM right",0.1,"tvalue-age",1.79826452286874
"14",NA,"BSC left",0.15,"tvalue-age",2.02169748010952,NA,"BSC right",0.15,"tvalue-age",1.99521273638323,NA,"GWC left",0.15,"tvalue-age",1.49038794954945,NA,"GWC right",0.15,"tvalue-age",1.49502203664689,NA,"CT left",0.15,"tvalue-age",1.46591251378487,NA,"CT right",0.15,"tvalue-age",1.47586260135788,NA,"t1t2_ratio_25_GM left",0.15,"tvalue-age",1.63768947191417,NA,"t1t2_ratio_25_GM right",0.15,"tvalue-age",1.61225846127673,NA,"t1t2_ratio_25_WM left",0.15,"tvalue-age",1.45490328626071,NA,"t1t2_ratio_25_WM right",0.15,"tvalue-age",1.46165261554458,NA,"t1t2_ratio_50_GM left",0.15,"tvalue-age",1.59719755838662,NA,"t1t2_ratio_50_GM right",0.15,"tvalue-age",1.57798195197196
"15",NA,"BSC left",0.2,"tvalue-age",1.84777168532989,NA,"BSC right",0.2,"tvalue-age",1.79216323432361,NA,"GWC left",0.2,"tvalue-age",1.32747853022688,NA,"GWC right",0.2,"tvalue-age",1.33265582546258,NA,"CT left",0.2,"tvalue-age",1.30724519943667,NA,"CT right",0.2,"tvalue-age",1.31351060180079,NA,"t1t2_ratio_25_GM left",0.2,"tvalue-age",1.46309747503803,NA,"t1t2_ratio_25_GM right",0.2,"tvalue-age",1.44142594726344,NA,"t1t2_ratio_25_WM left",0.2,"tvalue-age",1.29329550555706,NA,"t1t2_ratio_25_WM right",0.2,"tvalue-age",1.29987036434841,NA,"t1t2_ratio_50_GM left",0.2,"tvalue-age",1.4221533364661,NA,"t1t2_ratio_50_GM right",0.2,"tvalue-age",1.40954471164379
"16",NA,"BSC left",0.01,"tvalue-sexMale",NA,NA,"BSC right",0.01,"tvalue-sexMale",NA,NA,"GWC left",0.01,"tvalue-sexMale",NA,NA,"GWC right",0.01,"tvalue-sexMale",NA,NA,"CT left",0.01,"tvalue-sexMale",4.08485040226428,NA,"CT right",0.01,"tvalue-sexMale",3.86143022450898,NA,"t1t2_ratio_25_GM left",0.01,"tvalue-sexMale",NA,NA,"t1t2_ratio_25_GM right",0.01,"tvalue-sexMale",4.26987701092594,NA,"t1t2_ratio_25_WM left",0.01,"tvalue-sexMale",NA,NA,"t1t2_ratio_25_WM right",0.01,"tvalue-sexMale",4.47834048756507,NA,"t1t2_ratio_50_GM left",0.01,"tvalue-sexMale",NA,NA,"t1t2_ratio_50_GM right",0.01,"tvalue-sexMale",4.26840489506483
"17",NA,"BSC left",0.05,"tvalue-sexMale",3.17232198154528,NA,"BSC right",0.05,"tvalue-sexMale",NA,NA,"GWC left",0.05,"tvalue-sexMale",NA,NA,"GWC right",0.05,"tvalue-sexMale",NA,NA,"CT left",0.05,"tvalue-sexMale",3.44597861998063,NA,"CT right",0.05,"tvalue-sexMale",3.05757297984451,NA,"t1t2_ratio_25_GM left",0.05,"tvalue-sexMale",NA,NA,"t1t2_ratio_25_GM right",0.05,"tvalue-sexMale",3.71955272533916,NA,"t1t2_ratio_25_WM left",0.05,"tvalue-sexMale",NA,NA,"t1t2_ratio_25_WM right",0.05,"tvalue-sexMale",3.87857094761418,NA,"t1t2_ratio_50_GM left",0.05,"tvalue-sexMale",3.87333102026848,NA,"t1t2_ratio_50_GM right",0.05,"tvalue-sexMale",3.65494822429842
"18",NA,"BSC left",0.1,"tvalue-sexMale",2.68916768864856,NA,"BSC right",0.1,"tvalue-sexMale",2.70423286715975,NA,"GWC left",0.1,"tvalue-sexMale",NA,NA,"GWC right",0.1,"tvalue-sexMale",NA,NA,"CT left",0.1,"tvalue-sexMale",3.10880649868056,NA,"CT right",0.1,"tvalue-sexMale",2.68146895576046,NA,"t1t2_ratio_25_GM left",0.1,"tvalue-sexMale",NA,NA,"t1t2_ratio_25_GM right",0.1,"tvalue-sexMale",3.44208631484417,NA,"t1t2_ratio_25_WM left",0.1,"tvalue-sexMale",NA,NA,"t1t2_ratio_25_WM right",0.1,"tvalue-sexMale",3.63951961542785,NA,"t1t2_ratio_50_GM left",0.1,"tvalue-sexMale",3.47507167896363,NA,"t1t2_ratio_50_GM right",0.1,"tvalue-sexMale",3.21208697615012
"19",NA,"BSC left",0.15,"tvalue-sexMale",2.3793702227351,NA,"BSC right",0.15,"tvalue-sexMale",2.31727128072759,NA,"GWC left",0.15,"tvalue-sexMale",NA,NA,"GWC right",0.15,"tvalue-sexMale",NA,NA,"CT left",0.15,"tvalue-sexMale",2.82055679297404,NA,"CT right",0.15,"tvalue-sexMale",2.43958259301421,NA,"t1t2_ratio_25_GM left",0.15,"tvalue-sexMale",NA,NA,"t1t2_ratio_25_GM right",0.15,"tvalue-sexMale",3.25364134339202,NA,"t1t2_ratio_25_WM left",0.15,"tvalue-sexMale",NA,NA,"t1t2_ratio_25_WM right",0.15,"tvalue-sexMale",3.5020820965632,NA,"t1t2_ratio_50_GM left",0.15,"tvalue-sexMale",3.25748984432315,NA,"t1t2_ratio_50_GM right",0.15,"tvalue-sexMale",2.78732907833024
"20",NA,"BSC left",0.2,"tvalue-sexMale",2.13769605295238,NA,"BSC right",0.2,"tvalue-sexMale",2.07960622271038,NA,"GWC left",0.2,"tvalue-sexMale",NA,NA,"GWC right",0.2,"tvalue-sexMale",2.86762593594056,NA,"CT left",0.2,"tvalue-sexMale",2.56502984873543,NA,"CT right",0.2,"tvalue-sexMale",2.23671656967181,NA,"t1t2_ratio_25_GM left",0.2,"tvalue-sexMale",NA,NA,"t1t2_ratio_25_GM right",0.2,"tvalue-sexMale",3.07623361200402,NA,"t1t2_ratio_25_WM left",0.2,"tvalue-sexMale",NA,NA,"t1t2_ratio_25_WM right",0.2,"tvalue-sexMale",3.37322533049824,NA,"t1t2_ratio_50_GM left",0.2,"tvalue-sexMale",2.05305490828015,NA,"t1t2_ratio_50_GM right",0.2,"tvalue-sexMale",2.55041870197262
